locatie-id	locatie	id	longitude	latitude
complex Stabroek (13) (deel 1)-1037	complex Stabroek (13) (deel 1)	1037	4.349701	51.326324
E313 Spitsstrook kmpt. 3,390-2368	E313 Spitsstrook kmpt. 3,390	2368	4.491058029	51.21112302
complex Deinze (7)-1036	complex Deinze (7)	1036	3.561716253	50.95495898
E313 Spitsstrook kmpt. 3,390-2367	E313 Spitsstrook kmpt. 3,390	2367	4.491062533	51.21109482
complex Deinze (7)-1035	complex Deinze (7)	1035	3.562407096	50.95448202
E313 Spitsstrook kmpt. 3,390-2366	E313 Spitsstrook kmpt. 3,390	2366	4.491068542	51.21106284
complex Deinze (7)-1034	complex Deinze (7)	1034	3.560090665	50.95322725
E313 Spitsstrook kmpt. 2,730-2365	E313 Spitsstrook kmpt. 2,730	2365	4.480579436	51.21073108
Snede Herent  Winksele-3696	Snede Herent  Winksele	3696	4.679207704	50.8906487
Snede Herent  Winksele-3697	Snede Herent  Winksele	3697	4.679207704	50.8906487
Snede Herent  Winksele-3698	Snede Herent  Winksele	3698	4.679207704	50.8906487
Snede Winksele  Leuven 1-3699	Snede Winksele  Leuven 1	3699	4.668003	50.880003
knooppunt Antwerpen-Haven + complex Stab-1055	knooppunt Antwerpen-Haven + complex Stab	1055	4.350543	51.320673
E313 Spitsstrook kmpt. 7,410-2386	E313 Spitsstrook kmpt. 7,410	2386	4.546010794	51.20940869
knooppunt Antwerpen-Haven + complex Stab-1054	knooppunt Antwerpen-Haven + complex Stab	1054	4.35098	51.320677
E313 Spitsstrook kmpt. 6,500-2385	E313 Spitsstrook kmpt. 6,500	2385	4.53491999	51.21175024
knooppunt Antwerpen-Haven + complex Stab-1053	knooppunt Antwerpen-Haven + complex Stab	1053	4.350933	51.320673
E313 Spitsstrook kmpt. 6,500-2384	E313 Spitsstrook kmpt. 6,500	2384	4.534911522	51.2117233
knooppunt Antwerpen-Haven + complex Stab-1052	knooppunt Antwerpen-Haven + complex Stab	1052	4.350837	51.320665
E313 Spitsstrook kmpt. 6,500-2383	E313 Spitsstrook kmpt. 6,500	2383	4.534902883	51.21169436
knooppunt Antwerpen-Haven + complex Stab-1051	knooppunt Antwerpen-Haven + complex Stab	1051	4.350786	51.320663
E313 Spitsstrook kmpt. 6,500-2382	E313 Spitsstrook kmpt. 6,500	2382	4.534896613	51.21165642
knooppunt Antwerpen-Haven + complex Stab-1050	knooppunt Antwerpen-Haven + complex Stab	1050	4.347866	51.317266
E313 Spitsstrook kmpt. 5,750-2381	E313 Spitsstrook kmpt. 5,750	2381	4.524021501	51.21216339
E313 Spitsstrook kmpt. 5,750-2380	E313 Spitsstrook kmpt. 5,750	2380	4.524023017	51.21213606
knooppunt Antwerpen-Haven + complex Stab-1049	knooppunt Antwerpen-Haven + complex Stab	1049	4.347853	51.317294
knooppunt Antwerpen-Haven + complex Stab-1048	knooppunt Antwerpen-Haven + complex Stab	1048	4.347896	51.317172
E313 Spitsstrook kmpt. 5,750-2379	E313 Spitsstrook kmpt. 5,750	2379	4.524024587	51.21210308
knooppunt Antwerpen-Haven + complex Stab-1047	knooppunt Antwerpen-Haven + complex Stab	1047	4.347909	51.317142
E313 Spitsstrook kmpt. 5,750-2378	E313 Spitsstrook kmpt. 5,750	2378	4.524026136	51.21206922
knooppunt Antwerpen-Haven + complex Stab-1046	knooppunt Antwerpen-Haven + complex Stab	1046	4.347961	51.317008
E313 Spitsstrook kmpt. 4,495-2377	E313 Spitsstrook kmpt. 4,495	2377	4.512900321	51.21185014
